Seq,GameSeq,DimDateKey,DimTeamKey,HomeAway,SU_Win_Flag,ATS_Win_Flag,TeamScore,Off_Pass,Off_Run,Def_Pass,Def_Run,Int_Rt,Def_Int_Rt,Fuml_Rt,Pen_Rt,Yrd_Winner,DefRank,Pass_Yards,Rush_Yards,Sack_Yards,Int,Net_Fuml,Pass_TDs,Rush_TDs,Other_Points,tot_yrd_last_10,tot_yrd_season,tot_ypg_last_10,tot_ypg_season,last_10_game_ypg_rank,season_ypg_rank
12,201801,20180909,1,1,0,1,6,3.805555556,4.533333333,7.242424242,4.333333333,0.027777777,0,0.019607843,0.176470588,0,0,145,68,8,1,1,0,1,-1,3589,205,326,205,18,2
1,201801,20180906,2,0,0,1,12,4.234042553,4.111111111,2.864864865,4.185185185,0.021276595,0.027027027,0.015384615,0.23076923,1,0,225,74,26,1,0,0,1,5,3005,286,273,286,3,7
19,201801,20180909,3,1,1,0,47,6.1,3.441176471,1.076923077,3.772727273,0,0.051282051,0.054054054,0.121621621,1,0,252,117,8,0,1,3,3,5,3795,341,345,341,25,18
3,201801,20180909,4,0,0,1,3,1.076923077,3.772727273,6.1,3.441176471,0.051282051,0,0.016393442,0.163934426,0,0,70,83,28,2,0,0,0,3,3237,145,294,145,7,1
10,201801,20180909,5,1,1,0,16,4.517241379,4.59375,3.028571429,4.272727273,0,0,0.032786885,0.147540983,1,0,146,147,15,0,1,0,2,2,3207,261,291,261,5,6
23,201801,20180909,6,0,0,0,23,3.564102564,5.148148148,6.365853659,3.833333333,0,0.024390244,0.03030303,0.075757575,0,0,155,139,16,0,1,0,1,16,3676,254,334,254,22,5
4,201801,20180909,7,0,1,0,34,7.166666667,5.05,5.290909091,3.409090909,0.033333333,0.018181818,0.04,0.16,0,0,229,101,14,1,1,2,1,13,3510,316,319,316,15,13
14,201801,20180909,8,1,0,1,21,2.191489362,4.657894737,6.466666667,4.542857143,0.021276595,0.066666667,0.011764705,0.129411764,0,0,150,177,47,1,0,1,2,0,3496,305,317,305,12,10
27,201801,20180909,9,0,0,1,8,3.028571429,4.272727273,4.517241379,4.59375,0,0,0.017543859,0.175438596,0,0,138,94,32,0,1,0,1,1,3494,217,317,217,12,4
11,201801,20180909,10,1,1,0,27,7.975,4.5625,4.769230769,4,0.075,0.051282051,0,0.097222222,1,0,324,146,5,3,0,3,0,6,3531,414,321,414,17,27
