Seq,GameSeq,DimDateKey,DimTeamKey,HomeAway,SU_Win_Flag,ATS_Win_Flag,TeamScore,Off_Pass,Off_Run,Def_Pass,Def_Run,Int_Rt,Def_Int_Rt,Fuml_Rt,Pen_Rt,Yrd_Winner,DefRank,Pass_Yards,Rush_Yards,Sack_Yards,Int,Net_Fuml,Pass_TDs,Rush_TDs,Other_Points,tot_yrd_last_10,tot_yrd_season,tot_ypg_last_10,tot_ypg_season,last_10_game_ypg_rank,season_ypg_rank
21,201709,20171105,1,0,1,0,20,6.7,3.88372093,4.25,3.705882353,0.033333333,0.017857143,0.01369863,0.02739726,1,0,201,167,0,1,1,2,0,6,3933,3194,357,354,23,22
3,201709,20171105,2,0,0,1,17,7.275,2.944444444,4.84,5.289473684,0.025,0,0.017241379,0.137931034,1,0,302,53,11,1,0,2,0,3,2971,2308,270,256,2,1
19,201709,20171105,3,0,0,0,20,4.709090909,3.318181818,4.967741936,3.380952381,0.036363636,0.032258065,0.012987012,0.077922077,1,0,268,73,9,2,0,2,0,6,3503,2565,318,320,11,15
1,201709,20171102,4,0,0,1,21,4.319148936,2.863636364,6.380952381,4.731707317,0,0,0.057971014,0.159420289,0,0,244,63,41,0,3,2,1,0,3524,3021,320,335,12,20
24,201709,20171105,5,1,1,0,20,4.84,5.289473684,7.275,2.944444444,0,0.025,0.047619047,0.079365079,0,0,129,201,8,0,2,0,2,6,3603,2477,327,309,14,8
4,201709,20171105,7,0,0,1,7,5.1,1.705882353,6.815789474,3.7,0,0,0,0.216216216,0,0,119,29,17,0,0,0,1,0,3069,2200,279,275,3,3
11,201709,20171105,9,1,1,0,28,7.029411765,4.225806452,6.861111111,3.578947368,0,0.027777778,0,0.076923076,1,0,244,131,5,0,0,2,2,0,4144,3365,376,373,26,24
6,201709,20171105,10,0,0,1,23,4.243902439,1.842105263,7,5.324324324,0.048780487,0,0.016666666,0.233333333,0,0,191,35,17,2,0,1,0,16,3360,2708,305,300,7,7
25,201709,20171106,11,0,1,0,30,10.14705882,1.939393939,5.390243902,4.588235294,0,0,0.029850746,0.029850746,1,0,353,64,8,0,1,2,1,9,3885,2677,353,334,20,19
26,201709,20171106,12,1,0,1,17,5.390243902,4.588235294,10.14705882,1.939393939,0,0,0,0.034482758,0,0,233,78,12,0,0,0,2,3,3650,2571,331,321,15,16
16,201709,20171105,13,1,0,1,14,3.673913044,4.476190476,7.575757576,3.285714286,0,0,0.029850746,0.104477611,0,0,194,94,25,0,1,1,0,7,4061,3317,369,368,25,23
7,201709,20171105,14,0,1,0,20,7.575757576,3.285714286,3.673913044,4.476190476,0,0,0.016393442,0.098360655,1,0,279,92,29,0,1,2,0,6,3295,2531,299,316,4,11
13,201709,20171105,15,1,1,0,23,6.815789474,3.7,5.1,1.705882353,0,0,0.012820512,0.064102564,1,0,259,148,0,0,1,1,0,16,3382,2313,307,289,8,4
22,201709,20171105,16,0,0,1,17,6.861111111,3.578947368,7.029411765,4.225806452,0.027777777,0,0,0.145454545,0,0,255,68,8,1,0,2,0,3,3588,2556,326,319,13,13
12,201709,20171105,17,1,0,1,24,7.139534884,4.777777778,9.35483871,3.111111111,0,0.032258065,0.032786885,0.180327868,1,0,309,86,2,0,1,3,0,3,3775,3164,343,351,19,21
17,201709,20171105,20,1,1,0,30,8.892857143,4.71875,2.84375,3.48,0,0,0.066666666,0.066666666,1,0,256,151,7,0,2,2,1,9,3890,3017,353,377,20,26
14,201709,20171105,21,1,0,1,17,4.9,4.269230769,14.13636364,4.153846154,0.025,0,0.03030303,0.06060606,0,0,208,111,12,1,2,2,0,3,3439,2545,312,318,10,12
2,201709,20171102,22,1,1,0,34,6.380952381,4.731707317,4.319148936,2.863636364,0,0,0,0.161290322,1,0,137,194,3,0,0,1,3,6,3899,2626,354,328,22,17
23,201709,20171105,23,0,1,0,27,9.35483871,3.111111111,7.139534884,4.777777778,0.032258064,0,0.051724137,0.172413793,0,0,295,84,5,1,1,1,2,6,3410,2394,310,299,9,6
15,201709,20171105,24,1,1,0,51,7,5.324324324,4.243902439,1.842105263,0,0.048780488,0.014925373,0.074626865,1,0,222,197,12,0,1,4,3,2,2855,2070,259,258,1,2
10,201709,20171105,27,1,0,1,10,4.25,3.705882353,6.7,3.88372093,0.017857142,0.033333333,0.01369863,0.109589041,0,0,266,63,28,1,1,0,1,3,3721,2643,338,330,18,18
9,201709,20171105,28,1,0,1,14,5.978723404,5.285714286,3.756756757,2.217391304,0.042553191,0,0.013333333,0.213333333,1,0,289,148,8,2,0,2,0,0,3652,2503,332,312,16,10
5,201709,20171105,29,0,1,0,51,14.13636364,4.153846154,4.9,4.269230769,0,0.025,0.016393442,0.098360655,1,0,311,162,0,0,0,4,2,9,3995,3009,363,376,24,25
8,201709,20171105,30,0,0,1,10,2.84375,3.48,8.892857143,4.71875,0,0,0.017543859,0.122807017,0,0,113,87,22,0,1,1,0,3,3701,2557,336,319,17,13
18,201709,20171105,31,1,1,1,23,4.967741936,3.380952381,4.709090909,3.318181818,0.032258064,0.036363636,0,0.057692307,0,0,186,71,32,1,0,2,1,2,3329,2663,302,295,5,5
20,201709,20171105,32,0,1,0,17,3.756756757,2.217391304,5.978723404,5.285714286,0,0.042553192,0.033333333,0.116666666,0,0,193,51,54,0,1,0,2,3,3337,2473,303,309,6,8
28,201710,20171109,1,1,0,1,16,4.87755102,1.416666667,5.027027027,3.260869565,0,0,0.01369863,0.123287671,1,0,256,34,17,0,1,1,1,2,3359,2737,305,304,7,10
